Location,Latitude,Longitude,SeverityScore,IncidentsTotal
POINT(-79.45649 43.72224),43.722,-79.456,0.019,17
POINT(-79.27515 43.83099),43.831,-79.275,0.021,18
POINT(-79.40672 43.74413),43.744,-79.407,0.025,18
POINT(-79.49908 43.71828),43.718,-79.499,0.004,25
POINT(-79.4905 43.76182),43.762,-79.49,0.058,26
POINT(-79.53506 43.71126),43.711,-79.535,0.023,26
POINT(-79.49467 43.77818),43.778,-79.495,0.043,26
POINT(-79.27157 43.76173),43.762,-79.272,0.231,31
POINT(-79.5334 43.61658),43.617,-79.533,0.009,44
POINT(-79.47808 43.70858),43.709,-79.478,0.035,93
POINT(-79.33122 43.73319),43.733,-79.331,0.009,42
POINT(-79.3865 43.6507),43.651,-79.386,0.042,134
POINT(-79.5662 43.6956),43.696,-79.566,0.011,166
POINT(-79.55838 43.60639),43.606,-79.558,0.024,191
POINT(-79.48426 43.73609),43.736,-79.484,0.066,43
POINT(-79.56349 43.69845),43.698,-79.563,0.01,176
POINT(-79.55684 43.70571),43.706,-79.557,0.006,147
POINT(-79.34138 43.78406),43.784,-79.341,0.011,53
POINT(-79.237 43.78952),43.79,-79.237,0.027,126
POINT(-79.49098 43.76341),43.763,-79.491,0.027,37
POINT(-79.60476 43.71952),43.72,-79.605,0.004,3
POINT(-79.22707 43.77746),43.777,-79.227,0.007,3
POINT(-79.53761 43.73392),43.734,-79.538,0.007,3
POINT(-79.21893 43.73708),43.737,-79.219,0.004,3
POINT(-79.31463 43.71983),43.72,-79.315,0.003,3
POINT(-79.39081 43.71135),43.711,-79.391,0.016,3
POINT(-79.54002 43.69884),43.699,-79.54,0.005,3
POINT(-79.26867 43.73393),43.734,-79.269,0.011,3
POINT(-79.39222 43.70804),43.708,-79.392,0.006,3
POINT(-79.47561 43.75764),43.758,-79.476,0.007,3
POINT(-79.36877 43.65349),43.653,-79.369,0.005,3
POINT(-79.33661 43.71926),43.719,-79.337,0.02,3
POINT(-79.38914 43.7716),43.772,-79.389,0.005,3
POINT(-79.5236 43.71755),43.718,-79.524,0.004,3
POINT(-79.41914 43.77895),43.779,-79.419,0.008,3
POINT(-79.59288 43.71531),43.715,-79.593,0.004,3
POINT(-79.16918 43.80471),43.805,-79.169,0.005,3
POINT(-79.5403 43.68231),43.682,-79.54,0.015,4
POINT(-79.40469 43.66868),43.669,-79.405,0.009,4
POINT(-79.47878 43.64102),43.641,-79.479,0.012,5
POINT(-79.26604 43.77435),43.774,-79.266,0.01,6
POINT(-79.42579 43.63437),43.634,-79.426,0.002,6
POINT(-79.32833 43.74032),43.74,-79.328,0.009,6
POINT(-79.39789 43.65233),43.652,-79.398,0.013,6
POINT(-79.51554 43.62352),43.624,-79.516,0.006,6
POINT(-79.22049 43.81969),43.82,-79.22,0.012,6
POINT(-79.40169 43.63799),43.638,-79.402,0.002,7
POINT(-79.34438 43.79883),43.799,-79.344,0.001,7
POINT(-79.25878 43.78071),43.781,-79.259,0.001,7
POINT(-79.29032 43.7734),43.773,-79.29,0.002,8
POINT(-79.44282 43.71652),43.717,-79.443,0.01,8
POINT(-79.37321 43.78914),43.789,-79.373,0.024,8
POINT(-79.60924 43.75652),43.757,-79.609,0.008,9
POINT(-79.25042 43.78208),43.782,-79.25,0.002,9
POINT(-79.57357 43.66837),43.668,-79.574,0.002,10
POINT(-79.36326 43.64703),43.647,-79.363,0.01,10
POINT(-79.35401 43.77357),43.774,-79.354,0.031,10
POINT(-79.50835 43.71947),43.719,-79.508,0.013,10
POINT(-79.41133 43.7634),43.763,-79.411,0.014,10
POINT(-79.39479 43.63845),43.638,-79.395,0.004,11
POINT(-79.50061 43.6122),43.612,-79.501,0.027,11
POINT(-79.48568 43.69423),43.694,-79.486,0.011,11
POINT(-79.46476 43.63694),43.637,-79.465,0.004,12
POINT(-79.24774 43.82371),43.824,-79.248,0.015,12
POINT(-79.37581 43.66057),43.661,-79.376,0.021,13
POINT(-79.56521 43.73718),43.737,-79.565,0.02,15
POINT(-79.55299 43.62901),43.629,-79.553,0.079,15
POINT(-79.38812 43.65614),43.656,-79.388,0.016,16
POINT(-79.39495 43.765),43.765,-79.395,0.047,16
POINT(-79.33622 43.76049),43.76,-79.336,0.004,16
POINT(-79.38362 43.64651),43.647,-79.384,0.021,17
POINT(-79.54336 43.63286),43.633,-79.543,0.064,19
POINT(-79.29576 43.70874),43.709,-79.296,0.024,20
POINT(-79.3993 43.63673),43.637,-79.399,0.015,22
POINT(-79.31787 43.76845),43.768,-79.318,0.003,26
POINT(-79.56082 43.70151),43.702,-79.561,0.007,124
POINT(-79.62964 43.74801),43.748,-79.63,0.012,44
POINT(-79.54313 43.61483),43.615,-79.543,0.011,70
POINT(-79.32156 43.77222),43.772,-79.322,0.002,3
POINT(-79.58804 43.67021),43.67,-79.588,0,3
POINT(-79.54481 43.7624),43.762,-79.545,0.015,3
POINT(-79.43161 43.69641),43.696,-79.432,0.045,3
POINT(-79.32176 43.74115),43.741,-79.322,0.004,3
POINT(-79.29441 43.70723),43.707,-79.294,0.005,3
POINT(-79.45517 43.63871),43.639,-79.455,0.001,3
POINT(-79.41669 43.7413),43.741,-79.417,0.014,3
POINT(-79.39921 43.65077),43.651,-79.399,0.02,3
POINT(-79.30096 43.76098),43.761,-79.301,0.004,3
POINT(-79.40949 43.63617),43.636,-79.409,0.006,3
POINT(-79.58862 43.67081),43.671,-79.589,0,3
POINT(-79.30111 43.67808),43.678,-79.301,0.01,3
POINT(-79.49546 43.67572),43.676,-79.495,0.008,3
POINT(-79.49404 43.76249),43.762,-79.494,0.015,3
POINT(-79.55149 43.72614),43.726,-79.551,0.013,3
POINT(-79.31903 43.6643),43.664,-79.319,0.004,4
POINT(-79.54187 43.75786),43.758,-79.542,0.099,5
POINT(-79.23431 43.72354),43.724,-79.234,0.009,5
POINT(-79.29005 43.7739),43.774,-79.29,0.001,6
POINT(-79.30691 43.76942),43.769,-79.307,0.002,6
POINT(-79.37842 43.64659),43.647,-79.378,0.013,7
POINT(-79.27845 43.74884),43.749,-79.278,0.023,8
POINT(-79.39042 43.64373),43.644,-79.39,0.013,9
POINT(-79.28575 43.77723),43.777,-79.286,0.02,9
POINT(-79.36342 43.68261),43.683,-79.363,0.003,9
POINT(-79.33072 43.73026),43.73,-79.331,0.004,10
POINT(-79.36329 43.64743),43.647,-79.363,0.005,10
POINT(-79.45761 43.63872),43.639,-79.458,0.003,10
POINT(-79.33817 43.65597),43.656,-79.338,0.015,10
POINT(-79.399 43.68086),43.681,-79.399,0.028,11
POINT(-79.39739 43.67672),43.677,-79.397,0.016,11
POINT(-79.44001 43.65055),43.651,-79.44,0.015,11
POINT(-79.58047 43.71363),43.714,-79.58,0.011,12
POINT(-79.36033 43.70283),43.703,-79.36,0.02,13
POINT(-79.38799 43.76705),43.767,-79.388,0.017,13
POINT(-79.5376 43.6156),43.616,-79.538,0.006,13
POINT(-79.56731 43.69437),43.694,-79.567,0.003,14
POINT(-79.35366 43.64828),43.648,-79.354,0.012,14
POINT(-79.46903 43.72586),43.726,-79.469,0.002,14
POINT(-79.51971 43.75688),43.757,-79.52,0.012,15
POINT(-79.36056 43.67571),43.676,-79.361,0.021,17
POINT(-79.3975 43.76026),43.76,-79.397,0.002,19
POINT(-79.31771 43.7634),43.763,-79.318,0.017,21
POINT(-79.28794 43.78282),43.783,-79.288,0.014,23
POINT(-79.53614 43.71358),43.714,-79.536,0.006,114
POINT(-79.53366 43.70815),43.708,-79.534,0.025,33
POINT(-79.28353 43.77549),43.775,-79.284,0.004,64
POINT(-79.3614 43.64788),43.648,-79.361,0.018,109
POINT(-79.57234 43.68669),43.687,-79.572,0.004,72
POINT(-79.46777 43.7726),43.773,-79.468,0.056,36
POINT(-79.54184 43.71174),43.712,-79.542,0.004,44
POINT(-79.36884 43.64571),43.646,-79.369,0.018,44
POINT(-79.37694 43.65494),43.655,-79.377,0.004,3
POINT(-79.47433 43.65183),43.652,-79.474,0.005,3
POINT(-79.43835 43.66698),43.667,-79.438,0.005,3
POINT(-79.38397 43.67259),43.673,-79.384,0.004,3
POINT(-79.47158 43.65219),43.652,-79.472,0.006,3
POINT(-79.42675 43.73881),43.739,-79.427,0.007,3
POINT(-79.56228 43.63573),43.636,-79.562,0.003,3
POINT(-79.28605 43.74691),43.747,-79.286,0.005,3
POINT(-79.60079 43.72914),43.729,-79.601,0.009,3
POINT(-79.48621 43.65361),43.654,-79.486,0.011,3
POINT(-79.32103 43.77167),43.772,-79.321,0.004,3
POINT(-79.312 43.74853),43.749,-79.312,0.007,3
