Location,Latitude,Longitude,SeverityScore,IncidentsTotal
POINT(-79.46323 43.67383),43.674,-79.463,0.013,10
POINT(-79.42993 43.77658),43.777,-79.43,0.058,10
POINT(-79.56523 43.70877),43.709,-79.565,0.013,10
POINT(-79.43336 43.69933),43.699,-79.433,0.012,10
POINT(-79.36043 43.68919),43.689,-79.36,0.005,12
POINT(-79.40973 43.70437),43.704,-79.41,0.042,12
POINT(-79.54721 43.63097),43.631,-79.547,0.029,13
POINT(-79.5586 43.69436),43.694,-79.559,0.013,14
POINT(-79.55233 43.63804),43.638,-79.552,0.038,15
POINT(-79.51124 43.62059),43.621,-79.511,0.003,15
POINT(-79.3522 43.76657),43.767,-79.352,0.003,16
POINT(-79.26692 43.80787),43.808,-79.267,0.025,16
POINT(-79.29702 43.80133),43.801,-79.297,0.019,16
POINT(-79.34991 43.79384),43.794,-79.35,0.057,18
POINT(-79.52366 43.71576),43.716,-79.524,0.003,20
POINT(-79.43697 43.69873),43.699,-79.437,0.015,21
POINT(-79.37706 43.64679),43.647,-79.377,0.019,21
POINT(-79.48108 43.72108),43.721,-79.481,0.011,23
POINT(-79.37875 43.72087),43.721,-79.379,0.04,25
POINT(-79.33822 43.76594),43.766,-79.338,0.007,25
POINT(-79.28976 43.78668),43.787,-79.29,0.099,26
POINT(-79.22682 43.78845),43.788,-79.227,0.004,28
POINT(-79.53719 43.71337),43.713,-79.537,0.022,126
POINT(-79.39606 43.63813),43.638,-79.396,0.007,37
POINT(-79.45239 43.65629),43.656,-79.452,0.044,67
POINT(-79.56538 43.69634),43.696,-79.565,0.008,115
POINT(-79.55645 43.70669),43.707,-79.556,0.004,40
POINT(-79.47172 43.72496),43.725,-79.472,0.007,119
POINT(-79.48523 43.73996),43.74,-79.485,0.048,33
POINT(-79.58277 43.6713),43.671,-79.583,0.009,45
POINT(-79.53206 43.71405),43.714,-79.532,0.01,230
POINT(-79.55569 43.71642),43.716,-79.556,0.074,65
POINT(-79.49084 43.72053),43.721,-79.491,0.003,42
POINT(-79.18191 43.75811),43.758,-79.182,1.035,142
POINT(-79.48163 43.72473),43.725,-79.482,0.027,109
POINT(-79.22604 43.76191),43.762,-79.226,0.004,3
POINT(-79.38236 43.65791),43.658,-79.382,0.004,3
POINT(-79.48409 43.72621),43.726,-79.484,0.006,3
POINT(-79.57115 43.68824),43.688,-79.571,0.001,3
POINT(-79.24037 43.79661),43.797,-79.24,0.003,3
POINT(-79.55654 43.71833),43.718,-79.557,0.008,3
POINT(-79.37865 43.67282),43.673,-79.379,0.005,3
POINT(-79.38393 43.64947),43.649,-79.384,0.005,3
POINT(-79.53569 43.6137),43.614,-79.536,0.009,3
POINT(-79.47016 43.71069),43.711,-79.47,0.006,3
POINT(-79.31428 43.79714),43.797,-79.314,0.007,3
POINT(-79.24936 43.82367),43.824,-79.249,0.018,3
POINT(-79.42229 43.67364),43.674,-79.422,0.009,3
POINT(-79.36896 43.66191),43.662,-79.369,0.01,3
POINT(-79.27632 43.74924),43.749,-79.276,0.007,3
POINT(-79.43588 43.66909),43.669,-79.436,0.005,4
POINT(-79.35346 43.70208),43.702,-79.353,0.055,5
POINT(-79.46171 43.65876),43.659,-79.462,0.012,5
POINT(-79.50778 43.6216),43.622,-79.508,0.001,5
POINT(-79.53877 43.71779),43.718,-79.539,0.01,6
POINT(-79.59332 43.67667),43.677,-79.593,0.003,6
POINT(-79.30029 43.68392),43.684,-79.3,0.016,6
POINT(-79.4661 43.69192),43.692,-79.466,0.02,7
POINT(-79.42812 43.71231),43.712,-79.428,0.018,7
POINT(-79.4991 43.76093),43.761,-79.499,0.027,9
POINT(-79.50046 43.71808),43.718,-79.5,0.001,10
POINT(-79.59518 43.717),43.717,-79.595,0.009,10
POINT(-79.34141 43.76757),43.768,-79.341,0.001,11
POINT(-79.34041 43.77948),43.779,-79.34,0.005,13
POINT(-79.37434 43.64207),43.642,-79.374,0.032,14
POINT(-79.58966 43.66889),43.669,-79.59,0.005,16
POINT(-79.40825 43.75247),43.752,-79.408,0.003,20
POINT(-79.46528 43.76181),43.762,-79.465,0.063,23
POINT(-79.46348 43.75074),43.751,-79.463,0.02,27
POINT(-79.34268 43.69484),43.695,-79.343,0.017,27
POINT(-79.52205 43.61836),43.618,-79.522,0.015,36
POINT(-79.44553 43.79244),43.792,-79.446,0.029,34
POINT(-79.48179 43.72633),43.726,-79.482,0.017,34
POINT(-79.29585 43.77201),43.772,-79.296,0.004,31
POINT(-79.4275 43.73969),43.74,-79.427,0.004,60
POINT(-79.48008 43.71801),43.718,-79.48,0.031,36
POINT(-79.33158 43.73449),43.734,-79.332,0.011,61
POINT(-79.54053 43.74357),43.744,-79.541,0.067,34
POINT(-79.44034 43.69779),43.698,-79.44,0.068,66
POINT(-79.57172 43.68776),43.688,-79.572,0.004,79
POINT(-79.50714 43.71545),43.715,-79.507,0.023,33
POINT(-79.63236 43.74808),43.748,-79.632,0.006,3
POINT(-79.60641 43.74433),43.744,-79.606,0.006,3
POINT(-79.41456 43.77702),43.777,-79.415,0.007,3
POINT(-79.41686 43.78155),43.782,-79.417,0.009,3
POINT(-79.13974 43.8005),43.801,-79.14,0,3
POINT(-79.34366 43.76665),43.767,-79.344,0.003,3
POINT(-79.46392 43.75363),43.754,-79.464,0.003,3
POINT(-79.52881 43.6203),43.62,-79.529,0.006,3
POINT(-79.22219 43.79103),43.791,-79.222,0,3
POINT(-79.38907 43.76637),43.766,-79.389,0.003,3
POINT(-79.55076 43.70592),43.706,-79.551,0.004,3
POINT(-79.39082 43.64923),43.649,-79.391,0.004,4
POINT(-79.36414 43.66254),43.663,-79.364,0.012,4
POINT(-79.41377 43.67681),43.677,-79.414,0.008,4
POINT(-79.51164 43.77749),43.777,-79.512,0.006,4
POINT(-79.30222 43.81297),43.813,-79.302,0.028,5
POINT(-79.51855 43.61956),43.62,-79.519,0.001,5
POINT(-79.32925 43.66125),43.661,-79.329,0.01,5
POINT(-79.62982 43.74664),43.747,-79.63,0.002,5
POINT(-79.30291 43.68335),43.683,-79.303,0.014,6
POINT(-79.39632 43.67423),43.674,-79.396,0.006,6
POINT(-79.2369 43.80048),43.8,-79.237,0.057,7
POINT(-79.50687 43.7142),43.714,-79.507,0.012,7
POINT(-79.36847 43.65056),43.651,-79.368,0.014,8
POINT(-79.25324 43.74858),43.749,-79.253,0.045,9
POINT(-79.27074 43.7661),43.766,-79.271,0.016,9
POINT(-79.51154 43.71789),43.718,-79.512,0.003,9
POINT(-79.46039 43.65574),43.656,-79.46,0.035,10
POINT(-79.36605 43.68003),43.68,-79.366,0.013,10
POINT(-79.34121 43.8157),43.816,-79.341,0.02,12
POINT(-79.33059 43.72916),43.729,-79.331,0.004,13
POINT(-79.44676 43.66676),43.667,-79.447,0.02,13
POINT(-79.45603 43.6444),43.644,-79.456,0.051,13
POINT(-79.48388 43.62705),43.627,-79.484,0.005,14
POINT(-79.4221 43.70179),43.702,-79.422,0.022,14
POINT(-79.18902 43.76788),43.768,-79.189,0.019,16
POINT(-79.47978 43.62861),43.629,-79.48,0.005,16
POINT(-79.43476 43.69907),43.699,-79.435,0.018,17
POINT(-79.52542 43.61882),43.619,-79.525,0.005,17
POINT(-79.3324 43.73981),43.74,-79.332,0.008,18
POINT(-79.38348 43.65479),43.655,-79.383,0.021,20
POINT(-79.46927 43.69151),43.692,-79.469,0.032,21
POINT(-79.55916 43.62841),43.628,-79.559,0.016,21
POINT(-79.51725 43.71579),43.716,-79.517,0.017,26
POINT(-79.40457 43.7343),43.734,-79.405,0.022,27
POINT(-79.30147 43.68771),43.688,-79.301,0.068,37
POINT(-79.27223 43.76339),43.763,-79.272,0.123,49
POINT(-79.32429 43.76793),43.768,-79.324,0.005,30
POINT(-79.57314 43.66715),43.667,-79.573,0.002,44
POINT(-79.44311 43.67806),43.678,-79.443,0.038,47
POINT(-79.5503 43.70988),43.71,-79.55,0.021,510
POINT(-79.56798 43.69341),43.693,-79.568,0.007,123
POINT(-79.38236 43.76423),43.764,-79.382,0.003,36
POINT(-79.50927 43.72394),43.724,-79.509,0.121,69
POINT(-79.28238 43.77007),43.77,-79.282,0.019,51
POINT(-79.24778 43.71947),43.719,-79.248,0.015,3
POINT(-79.3326 43.70316),43.703,-79.333,0.001,3
POINT(-79.27653 43.76023),43.76,-79.277,0.008,3
POINT(-79.43268 43.73193),43.732,-79.433,0.013,3
POINT(-79.3522 43.7016),43.702,-79.352,0.005,3
POINT(-79.40024 43.64383),43.644,-79.4,0.003,3
POINT(-79.26285 43.75235),43.752,-79.263,0.011,3
POINT(-79.26849 43.76858),43.769,-79.268,0.007,3
POINT(-79.43124 43.72585),43.726,-79.431,0.009,3
POINT(-79.56373 43.62699),43.627,-79.564,0.003,3
POINT(-79.17479 43.78983),43.79,-79.175,0.037,3
POINT(-79.4457 43.66478),43.665,-79.446,0.008,3
POINT(-79.4096 43.6461),43.646,-79.41,0.005,3
POINT(-79.52786 43.62314),43.623,-79.528,0.009,4
POINT(-79.5554 43.74929),43.749,-79.555,0.008,4
POINT(-79.40288 43.72762),43.728,-79.403,0.011,4
POINT(-79.37407 43.76972),43.77,-79.374,0.007,4
POINT(-79.51573 43.7179),43.718,-79.516,0.002,4
POINT(-79.37835 43.65984),43.66,-79.378,0.005,4
POINT(-79.56353 43.73308),43.733,-79.564,0.049,5
POINT(-79.55096 43.76042),43.76,-79.551,0.012,5
POINT(-79.45073 43.63926),43.639,-79.451,0.008,5
POINT(-79.50203 43.62596),43.626,-79.502,0.008,5
POINT(-79.48532 43.64826),43.648,-79.485,0.008,6
POINT(-79.38926 43.76299),43.763,-79.389,0.002,6
POINT(-79.57463 43.69068),43.691,-79.575,0.005,6
POINT(-79.389 43.6685),43.669,-79.389,0.012,7
POINT(-79.29176 43.76333),43.763,-79.292,0.013,7
POINT(-79.4725 43.69075),43.691,-79.472,0.026,7
POINT(-79.25371 43.74963),43.75,-79.254,0.034,8
POINT(-79.31388 43.72498),43.725,-79.314,0.009,8
POINT(-79.44512 43.78263),43.783,-79.445,0.083,8
POINT(-79.38409 43.66444),43.664,-79.384,0.012,8
POINT(-79.36334 43.71017),43.71,-79.363,0.025,9
POINT(-79.27863 43.75919),43.759,-79.279,0.02,9
POINT(-79.38393 43.64785),43.648,-79.384,0.01,10
POINT(-79.28052 43.72925),43.729,-79.281,0.03,11
POINT(-79.60329 43.74351),43.744,-79.603,0.037,11
POINT(-79.38467 43.66485),43.665,-79.385,0.015,12
POINT(-79.41407 43.6732),43.673,-79.414,0.015,12
POINT(-79.38199 43.64359),43.644,-79.382,0.037,12
POINT(-79.48589 43.74293),43.743,-79.486,0.024,16
POINT(-79.46597 43.63592),43.636,-79.466,0.021,18
POINT(-79.46759 43.6359),43.636,-79.468,0.004,19
POINT(-79.24484 43.75395),43.754,-79.245,0.036,20
POINT(-79.45676 43.72351),43.724,-79.457,0.017,21
POINT(-79.57079 43.66183),43.662,-79.571,0.002,23
POINT(-79.27116 43.77822),43.778,-79.271,0.002,24
POINT(-79.54212 43.75101),43.751,-79.542,0.037,25
POINT(-79.55724 43.60725),43.607,-79.557,0.007,25
POINT(-79.3684 43.67408),43.674,-79.368,0.014,26
POINT(-79.39199 43.76214),43.762,-79.392,0.002,27
POINT(-79.48227 43.72774),43.728,-79.482,0.034,42
POINT(-79.52549 43.71548),43.715,-79.525,0.004,81
POINT(-79.55287 43.61948),43.619,-79.553,0.016,200
POINT(-79.3326 43.74417),43.744,-79.333,0.009,58
POINT(-79.55435 43.62233),43.622,-79.554,0.013,153
POINT(-79.55254 43.61517),43.615,-79.553,0.014,34
POINT(-79.49875 43.71913),43.719,-79.499,0.007,87
POINT(-79.33873 43.72068),43.721,-79.339,0.021,42
POINT(-79.19364 43.78638),43.786,-79.194,0.067,31
POINT(-79.23667 43.78537),43.785,-79.237,0.003,33
POINT(-79.34168 43.78528),43.785,-79.342,0.008,47
POINT(-79.6254 43.73426),43.734,-79.625,0.011,49
POINT(-79.52115 43.71655),43.717,-79.521,0.005,103
POINT(-79.41432 43.67396),43.674,-79.414,0.004,3
POINT(-79.4091 43.70566),43.706,-79.409,0.003,3
POINT(-79.21545 43.74402),43.744,-79.215,0.012,3
POINT(-79.17423 43.77598),43.776,-79.174,0.007,3
POINT(-79.32248 43.6993),43.699,-79.322,0.011,3
POINT(-79.50021 43.76091),43.761,-79.5,0.012,3
POINT(-79.19723 43.75938),43.759,-79.197,0.004,3
POINT(-79.25186 43.71858),43.719,-79.252,0.015,3
POINT(-79.37812 43.64818),43.648,-79.378,0.004,3
POINT(-79.49104 43.76473),43.765,-79.491,0.004,3
POINT(-79.1711 43.77177),43.772,-79.171,0.047,3
POINT(-79.26935 43.73555),43.736,-79.269,0.01,3
POINT(-79.34102 43.75722),43.757,-79.341,0.005,3
POINT(-79.53764 43.75296),43.753,-79.538,0.008,3
POINT(-79.48702 43.72153),43.722,-79.487,0.001,3
POINT(-79.25176 43.75405),43.754,-79.252,0.007,3
POINT(-79.52074 43.77012),43.77,-79.521,0.021,3
POINT(-79.56782 43.64439),43.644,-79.568,0.012,3
POINT(-79.30187 43.7663),43.766,-79.302,0.007,3
POINT(-79.41726 43.68056),43.681,-79.417,0.013,4
POINT(-79.46223 43.65997),43.66,-79.462,0.023,4
POINT(-79.5626 43.76491),43.765,-79.563,0.005,4
POINT(-79.52096 43.77163),43.772,-79.521,0.027,4
POINT(-79.35768 43.71506),43.715,-79.358,0.013,5
POINT(-79.53593 43.71176),43.712,-79.536,0.005,5
POINT(-79.23167 43.72586),43.726,-79.232,0.009,5
POINT(-79.3123 43.7685),43.769,-79.312,0.001,6
POINT(-79.49455 43.77952),43.78,-79.495,0.011,6
POINT(-79.46739 43.71124),43.711,-79.467,0.025,6
POINT(-79.57345 43.69719),43.697,-79.573,0.021,6
POINT(-79.56503 43.70299),43.703,-79.565,0.004,7
POINT(-79.53454 43.70991),43.71,-79.535,0.014,7
POINT(-79.37459 43.70421),43.704,-79.375,0.012,7
POINT(-79.33041 43.72741),43.727,-79.33,0.001,7
POINT(-79.42512 43.79685),43.797,-79.425,0.024,8
POINT(-79.32174 43.7679),43.768,-79.322,0.002,9
POINT(-79.57732 43.69831),43.698,-79.577,0.02,9
POINT(-79.52925 43.62709),43.627,-79.529,0.02,10
POINT(-79.35588 43.66473),43.665,-79.356,0.004,11
POINT(-79.45832 43.73021),43.73,-79.458,0.014,11
POINT(-79.41148 43.71143),43.711,-79.411,0.019,11
POINT(-79.41456 43.74878),43.749,-79.415,0.013,11
POINT(-79.46644 43.66994),43.67,-79.466,0.024,12
POINT(-79.44432 43.73058),43.731,-79.444,0.002,14
POINT(-79.4321 43.63178),43.632,-79.432,0.025,14
POINT(-79.49402 43.67277),43.673,-79.494,0.025,14
POINT(-79.54739 43.7104),43.71,-79.547,0.003,16
POINT(-79.24619 43.73718),43.737,-79.246,0.037,17
POINT(-79.56252 43.64373),43.644,-79.563,0.003,19
POINT(-79.49498 43.70568),43.706,-79.495,0.015,19
POINT(-79.51029 43.7172),43.717,-79.51,0.005,20
POINT(-79.51702 43.70005),43.7,-79.517,0.035,20
POINT(-79.43168 43.63263),43.633,-79.432,0.005,21
POINT(-79.53726 43.75529),43.755,-79.537,0.022,22
POINT(-79.42112 43.73863),43.739,-79.421,0.031,22
POINT(-79.23712 43.81415),43.814,-79.237,0.041,28
POINT(-79.2394 43.79474),43.795,-79.239,0.011,32
POINT(-79.37806 43.71666),43.717,-79.378,0.047,47
POINT(-79.33711 43.69611),43.696,-79.337,0.038,40
POINT(-79.57724 43.69018),43.69,-79.577,0.054,53
POINT(-79.38105 43.64125),43.641,-79.381,0.017,181
POINT(-79.28382 43.7746),43.775,-79.284,0.005,42
POINT(-79.52414 43.75604),43.756,-79.524,0.026,63
POINT(-79.32173 43.7254),43.725,-79.322,0.063,32
POINT(-79.26977 43.77835),43.778,-79.27,0.003,33
POINT(-79.47725 43.72361),43.724,-79.477,0.004,44
POINT(-79.34692 43.65107),43.651,-79.347,0.079,374
POINT(-79.60203 43.71895),43.719,-79.602,0.049,40
POINT(-79.35745 43.64911),43.649,-79.357,0.023,213
POINT(-79.37957 43.76483),43.765,-79.38,0.003,45
POINT(-79.27502 43.77721),43.777,-79.275,0.006,74
POINT(-79.2352 43.78557),43.786,-79.235,0.007,133
POINT(-79.44034 43.76309),43.763,-79.44,0.013,3
POINT(-79.3533 43.79297),43.793,-79.353,0.021,3
POINT(-79.33038 43.79331),43.793,-79.33,0.004,3
POINT(-79.44574 43.78651),43.787,-79.446,0.01,3
POINT(-79.40769 43.70469),43.705,-79.408,0.005,3
POINT(-79.30175 43.74385),43.744,-79.302,0.005,3
POINT(-79.31082 43.80894),43.809,-79.311,0.008,3
POINT(-79.34402 43.79597),43.796,-79.344,0.001,3
POINT(-79.30442 43.72906),43.729,-79.304,0.006,3
POINT(-79.46078 43.69335),43.693,-79.461,0.008,3
POINT(-79.47328 43.66552),43.666,-79.473,0.01,3
POINT(-79.33954 43.76886),43.769,-79.34,0.002,3
POINT(-79.43895 43.70657),43.707,-79.439,0.013,3
POINT(-79.45271 43.70554),43.706,-79.453,0.007,4
POINT(-79.43985 43.66842),43.668,-79.44,0.006,4
POINT(-79.44026 43.67132),43.671,-79.44,0.01,4
POINT(-79.30525 43.74307),43.743,-79.305,0.006,4
POINT(-79.41564 43.78138),43.781,-79.416,0.009,4
POINT(-79.2313 43.81561),43.816,-79.231,0.007,4
POINT(-79.36944 43.71263),43.713,-79.369,0.031,5
POINT(-79.52027 43.60701),43.607,-79.52,0.018,5
POINT(-79.45131 43.65627),43.656,-79.451,0.01,5
POINT(-79.43509 43.735),43.735,-79.435,0.001,6
POINT(-79.33458 43.77543),43.775,-79.335,0.009,6
POINT(-79.33157 43.7683),43.768,-79.332,0.004,6
POINT(-79.30798 43.77873),43.779,-79.308,0.005,7
POINT(-79.44704 43.63808),43.638,-79.447,0.001,7
POINT(-79.34095 43.72778),43.728,-79.341,0.014,8
POINT(-79.3521 43.65644),43.656,-79.352,0.003,9
POINT(-79.57316 43.69624),43.696,-79.573,0.006,9
POINT(-79.54609 43.69727),43.697,-79.546,0.024,9
POINT(-79.57303 43.64328),43.643,-79.573,0.052,10
POINT(-79.37246 43.66148),43.661,-79.372,0.036,11
POINT(-79.56186 43.6414),43.641,-79.562,0.002,11
POINT(-79.49203 43.66716),43.667,-79.492,0.012,11
POINT(-79.60448 43.73728),43.737,-79.604,0.014,11
POINT(-79.44751 43.72597),43.726,-79.448,0.012,12
POINT(-79.32322 43.7409),43.741,-79.323,0.014,12
POINT(-79.42778 43.70042),43.7,-79.428,0.034,13
POINT(-79.30572 43.66881),43.669,-79.306,0.01,14
POINT(-79.5251 43.75566),43.756,-79.525,0.012,14
POINT(-79.29482 43.77214),43.772,-79.295,0.008,14
POINT(-79.40055 43.75828),43.758,-79.401,0.002,16
POINT(-79.34911 43.64901),43.649,-79.349,0.009,18
POINT(-79.35212 43.76692),43.767,-79.352,0.005,18
POINT(-79.50219 43.69745),43.697,-79.502,0.022,21
POINT(-79.29175 43.7097),43.71,-79.292,0.038,26
POINT(-79.26448 43.69166),43.692,-79.264,0.073,28
POINT(-79.52135 43.6396),43.64,-79.521,0.102,40
POINT(-79.47306 43.72471),43.725,-79.473,0.004,74
POINT(-79.36996 43.64553),43.646,-79.37,0.025,172
POINT(-79.4596 43.6384),43.638,-79.46,0.023,124
POINT(-79.5608 43.6396),43.64,-79.561,0.004,42
POINT(-79.5197 43.76594),43.766,-79.52,0.269,95
POINT(-79.48251 43.72234),43.722,-79.483,0.004,56
POINT(-79.33208 43.74137),43.741,-79.332,0.012,54
POINT(-79.49487 43.71957),43.72,-79.495,0.005,91
POINT(-79.30943 43.74117),43.741,-79.309,0.045,69
POINT(-79.29611 43.80072),43.801,-79.296,0.036,35
POINT(-79.19622 43.79416),43.794,-79.196,0.003,3
POINT(-79.34506 43.69745),43.697,-79.345,0.001,3
POINT(-79.41691 43.78528),43.785,-79.417,0.016,3
POINT(-79.39331 43.68649),43.686,-79.393,0.008,3
POINT(-79.32208 43.6723),43.672,-79.322,0.009,3
POINT(-79.42051 43.68271),43.683,-79.421,0.005,3
POINT(-79.49191 43.76609),43.766,-79.492,0.015,3
POINT(-79.48592 43.76075),43.761,-79.486,0.009,3
POINT(-79.33956 43.67804),43.678,-79.34,0.027,3
POINT(-79.51107 43.6468),43.647,-79.511,0.006,3
POINT(-79.54268 43.59607),43.596,-79.543,0.005,3
POINT(-79.50591 43.7789),43.779,-79.506,0.006,3
POINT(-79.45112 43.75292),43.753,-79.451,0.012,3
POINT(-79.47579 43.69922),43.699,-79.476,0.004,3
POINT(-79.33371 43.7927),43.793,-79.334,0.007,3
POINT(-79.44927 43.69346),43.693,-79.449,0.007,3
POINT(-79.34258 43.71934),43.719,-79.343,0.008,3
POINT(-79.54018 43.64077),43.641,-79.54,0.015,3
POINT(-79.33208 43.68142),43.681,-79.332,0.005,3
POINT(-79.28216 43.74811),43.748,-79.282,0.007,3
POINT(-79.33465 43.75473),43.755,-79.335,0.001,3
POINT(-79.2758 43.75189),43.752,-79.276,0.007,3
POINT(-79.40472 43.67788),43.678,-79.405,0.006,3
POINT(-79.29757 43.76018),43.76,-79.298,0.022,3
POINT(-79.56556 43.7095),43.71,-79.566,0.004,3
POINT(-79.27878 43.75949),43.759,-79.279,0.004,4
POINT(-79.51301 43.73877),43.739,-79.513,0.004,4
POINT(-79.55932 43.63429),43.634,-79.559,0.003,4
POINT(-79.52611 43.70332),43.703,-79.526,0.024,4
POINT(-79.53211 43.70615),43.706,-79.532,0.01,4
POINT(-79.55962 43.69648),43.696,-79.56,0.012,5
POINT(-79.33007 43.72204),43.722,-79.33,0.002,6
POINT(-79.19322 43.78513),43.785,-79.193,0.009,6
POINT(-79.36449 43.7746),43.775,-79.364,0.021,6
POINT(-79.51414 43.75773),43.758,-79.514,0.006,6
POINT(-79.33198 43.70427),43.704,-79.332,0.002,6
POINT(-79.18999 43.76729),43.767,-79.19,0.006,6
POINT(-79.32742 43.71804),43.718,-79.327,0.002,6
POINT(-79.47022 43.78284),43.783,-79.47,0.017,7
POINT(-79.5239 43.61804),43.618,-79.524,0.002,7
POINT(-79.44965 43.67122),43.671,-79.45,0.03,7
POINT(-79.57627 43.69047),43.69,-79.576,0.004,7
POINT(-79.40438 43.73329),43.733,-79.404,0.012,7
POINT(-79.40436 43.68601),43.686,-79.404,0.019,7
POINT(-79.33582 43.70124),43.701,-79.336,0.003,7
POINT(-79.62808 43.73715),43.737,-79.628,0.005,8
POINT(-79.45532 43.6427),43.643,-79.455,0.021,8
POINT(-79.49934 43.62329),43.623,-79.499,0.003,13
POINT(-79.32898 43.69761),43.698,-79.329,0.013,16
POINT(-79.24528 43.78274),43.783,-79.245,0.002,16
POINT(-79.58558 43.70936),43.709,-79.586,0.077,18
POINT(-79.30357 43.76901),43.769,-79.304,0.014,19
POINT(-79.38371 43.64074),43.641,-79.384,0.006,19
POINT(-79.26443 43.82752),43.828,-79.264,0.216,22
POINT(-79.35916 43.64826),43.648,-79.359,0.017,24
POINT(-79.39488 43.64526),43.645,-79.395,0.014,25
POINT(-79.41109 43.75196),43.752,-79.411,0.003,26
POINT(-79.50427 43.71119),43.711,-79.504,0.015,27
POINT(-79.36867 43.64616),43.646,-79.369,0.018,62
POINT(-79.28623 43.77464),43.775,-79.286,0.007,126
POINT(-79.55787 43.63246),43.632,-79.558,0.028,317
POINT(-79.52805 43.61762),43.618,-79.528,0.007,38
POINT(-79.36875 43.76592),43.766,-79.369,0.011,158
POINT(-79.55291 43.62),43.62,-79.553,0.015,174
POINT(-79.47432 43.63261),43.633,-79.474,0.024,168
POINT(-79.63349 43.75126),43.751,-79.633,0.124,151
POINT(-79.28104 43.76611),43.766,-79.281,0.021,62
POINT(-79.18606 43.7686),43.769,-79.186,0.006,3
POINT(-79.39887 43.70803),43.708,-79.399,0.01,3
POINT(-79.48014 43.72262),43.723,-79.48,0.001,3
POINT(-79.21221 43.79412),43.794,-79.212,0,3
POINT(-79.55864 43.70351),43.704,-79.559,0.001,3
POINT(-79.35746 43.66606),43.666,-79.357,0.014,3
POINT(-79.35676 43.75379),43.754,-79.357,0.004,3
POINT(-79.37686 43.65654),43.657,-79.377,0.004,3
POINT(-79.28646 43.6869),43.687,-79.286,0.006,3
POINT(-79.20338 43.79542),43.795,-79.203,0.001,3
POINT(-79.61273 43.73444),43.734,-79.613,0.039,3
POINT(-79.39635 43.64904),43.649,-79.396,0.005,3
POINT(-79.35633 43.66158),43.662,-79.356,0.009,3
POINT(-79.24055 43.71813),43.718,-79.241,0.005,3
POINT(-79.3757 43.66985),43.67,-79.376,0.005,3
POINT(-79.37681 43.67146),43.671,-79.377,0.008,3
POINT(-79.59372 43.74182),43.742,-79.594,0.003,3
POINT(-79.40598 43.74146),43.741,-79.406,0.004,3
POINT(-79.24561 43.83154),43.832,-79.246,0.007,3
POINT(-79.27923 43.76997),43.77,-79.279,0.006,4
POINT(-79.38283 43.65381),43.654,-79.383,0.014,4
POINT(-79.29873 43.72867),43.729,-79.299,0.005,5
POINT(-79.28483 43.74813),43.748,-79.285,0.011,5
POINT(-79.57972 43.7112),43.711,-79.58,0.017,5
POINT(-79.56222 43.73576),43.736,-79.562,0.01,5
POINT(-79.29973 43.75798),43.758,-79.3,0.011,6
POINT(-79.23152 43.78687),43.787,-79.232,0.001,6
POINT(-79.52659 43.63245),43.632,-79.527,0.069,6
POINT(-79.24551 43.81857),43.819,-79.246,0.007,7
POINT(-79.52749 43.65018),43.65,-79.527,0.034,7
POINT(-79.45713 43.72503),43.725,-79.457,0.012,8
POINT(-79.37127 43.653),43.653,-79.371,0.009,9
POINT(-79.60093 43.68638),43.686,-79.601,0.005,9
POINT(-79.37729 43.8075),43.808,-79.377,0.044,9
POINT(-79.38227 43.65917),43.659,-79.382,0.014,10
POINT(-79.34652 43.69768),43.698,-79.347,0.004,11
POINT(-79.24089 43.78418),43.784,-79.241,0.002,11
POINT(-79.44555 43.78379),43.784,-79.446,0.024,12
POINT(-79.27524 43.81722),43.817,-79.275,0.176,12
POINT(-79.38759 43.65326),43.653,-79.388,0.012,12
POINT(-79.56482 43.76637),43.766,-79.565,0.01,12
POINT(-79.47 43.7258),43.726,-79.47,0.004,13
POINT(-79.48828 43.65873),43.659,-79.488,0.027,13
POINT(-79.50733 43.6069),43.607,-79.507,0.036,14
POINT(-79.3212 43.72554),43.726,-79.321,0.02,15
POINT(-79.25599 43.78398),43.784,-79.256,0.018,15
POINT(-79.44132 43.63576),43.636,-79.441,0.004,16
POINT(-79.31556 43.72235),43.722,-79.316,0.035,18
POINT(-79.47463 43.69028),43.69,-79.475,0.011,18
POINT(-79.38246 43.63991),43.64,-79.382,0.02,23
POINT(-79.33299 43.76774),43.768,-79.333,0.003,25
POINT(-79.43737 43.71757),43.718,-79.437,0.038,26
POINT(-79.40858 43.63743),43.637,-79.409,0.006,28
POINT(-79.49269 43.72005),43.72,-79.493,0.08,1188
POINT(-79.4456 43.73055),43.731,-79.446,0.004,48
POINT(-79.43275 43.63191),43.632,-79.433,0.065,42
POINT(-79.53193 43.7733),43.773,-79.532,0.015,54
POINT(-79.51284 43.7169),43.717,-79.513,0.006,74
POINT(-79.52919 43.71485),43.715,-79.529,0.011,255
POINT(-79.53176 43.61672),43.617,-79.532,0.043,380
POINT(-79.38634 43.64948),43.649,-79.386,0.018,68
POINT(-79.28479 43.77469),43.775,-79.285,0.005,61
POINT(-79.55795 43.70529),43.705,-79.558,0.003,42
POINT(-79.37695 43.64364),43.644,-79.377,0.011,39
POINT(-79.34122 43.65351),43.654,-79.341,0.072,243
POINT(-79.42583 43.74086),43.741,-79.426,0.011,86
POINT(-79.40004 43.75883),43.759,-79.4,0.003,49
