,Location,Latitude,Longitude,SeverityScore,IncidentsTotal
2145,POINT(-79.38089 43.66569),43.666,-79.381,0.027,11
2146,POINT(-79.55016 43.7248),43.725,-79.55,0.031,11
2149,POINT(-79.28549 43.69718),43.697,-79.285,0.12,13
2154,POINT(-79.46496 43.78836),43.788,-79.465,0.04,17
2155,POINT(-79.51976 43.6358),43.636,-79.52,0.037,18
2157,POINT(-79.57795 43.70142),43.701,-79.578,0.041,20
2159,POINT(-79.25158 43.77183),43.772,-79.252,0.021,25
2160,POINT(-79.60065 43.75846),43.758,-79.601,0.045,28
2161,POINT(-79.24261 43.81261),43.813,-79.243,0.027,35
2162,POINT(-79.51752 43.75678),43.757,-79.518,0.043,29
2163,POINT(-79.54428 43.59119),43.591,-79.544,0.148,35
2164,POINT(-79.2915 43.80254),43.803,-79.291,0.671,175
2167,POINT(-79.40557 43.69768),43.698,-79.406,0.047,35
2168,POINT(-79.36728 43.64639),43.646,-79.367,0.031,129
2169,POINT(-79.34512 43.81469),43.815,-79.345,0.11,88
2171,POINT(-79.55678 43.71887),43.719,-79.557,0.086,29
2172,POINT(-79.53769 43.71273),43.713,-79.538,0.15,3487
2213,POINT(-79.27245 43.74306),43.743,-79.272,0.054,11
2215,POINT(-79.60076 43.73484),43.735,-79.601,0.025,13
2218,POINT(-79.57077 43.75874),43.759,-79.571,0.048,19
2219,POINT(-79.39043 43.70846),43.708,-79.39,0.032,20
2220,POINT(-79.35882 43.67633),43.676,-79.359,0.02,20
2222,POINT(-79.50456 43.70578),43.706,-79.505,0.046,21
2224,POINT(-79.51503 43.74696),43.747,-79.515,0.075,22
2226,POINT(-79.36011 43.75358),43.754,-79.36,0.037,24
2232,POINT(-79.33892 43.73808),43.738,-79.339,0.125,86
2234,POINT(-79.46921 43.77843),43.778,-79.469,0.052,30
2274,POINT(-79.3862 43.66061),43.661,-79.386,0.043,11
2276,POINT(-79.45253 43.70439),43.704,-79.453,0.022,12
2278,POINT(-79.48924 43.70194),43.702,-79.489,0.026,13
2280,POINT(-79.26054 43.79364),43.794,-79.261,0.031,14
2282,POINT(-79.45485 43.6415),43.642,-79.455,0.041,16
2283,POINT(-79.47601 43.78572),43.786,-79.476,0.07,18
2293,POINT(-79.58136 43.71397),43.714,-79.581,0.023,63
2294,POINT(-79.35621 43.64911),43.649,-79.356,0.022,124
2298,POINT(-79.35943 43.7148),43.715,-79.359,0.052,39
2332,POINT(-79.40164 43.63597),43.636,-79.402,0.02,10
2333,POINT(-79.60076 43.7431),43.743,-79.601,0.038,11
2334,POINT(-79.36198 43.76424),43.764,-79.362,0.031,13
2336,POINT(-79.48902 43.75532),43.755,-79.489,0.032,13
2344,POINT(-79.50592 43.60695),43.607,-79.506,0.026,22
2345,POINT(-79.5364 43.72481),43.725,-79.536,0.044,26
2348,POINT(-79.61275 43.75341),43.753,-79.613,0.175,168
2349,POINT(-79.44747 43.68892),43.689,-79.447,0.254,118
2355,POINT(-79.36309 43.7663),43.766,-79.363,0.242,4849
2358,POINT(-79.38509 43.64823),43.648,-79.385,0.028,44
2361,POINT(-79.38163 43.72894),43.729,-79.382,0.134,105
2396,POINT(-79.48576 43.68771),43.688,-79.486,0.038,11
2397,POINT(-79.47627 43.76336),43.763,-79.476,0.047,12
2404,POINT(-79.30798 43.67387),43.674,-79.308,0.029,19
2405,POINT(-79.43423 43.7374),43.737,-79.434,0.03,22
2407,POINT(-79.34019 43.81591),43.816,-79.34,0.109,24
2408,POINT(-79.49334 43.77254),43.773,-79.493,0.055,26
2410,POINT(-79.43892 43.66847),43.668,-79.439,0.027,39
2412,POINT(-79.40425 43.76306),43.763,-79.404,0.094,48
2415,POINT(-79.55003 43.61548),43.615,-79.55,0.108,808
2417,POINT(-79.42956 43.71925),43.719,-79.43,0.029,41
2418,POINT(-79.37704 43.71129),43.711,-79.377,0.04,29
2419,POINT(-79.5311 43.61679),43.617,-79.531,0.122,681
2450,POINT(-79.29268 43.79354),43.794,-79.293,0.043,14
2453,POINT(-79.32635 43.74057),43.741,-79.326,0.025,16
2455,POINT(-79.52954 43.73573),43.736,-79.53,0.02,18
2457,POINT(-79.49769 43.68121),43.681,-79.498,0.037,19
2458,POINT(-79.42528 43.70116),43.701,-79.425,0.035,21
2459,POINT(-79.52626 43.61963),43.62,-79.526,0.03,22
2464,POINT(-79.46226 43.69319),43.693,-79.462,0.047,27
2467,POINT(-79.25849 43.73451),43.735,-79.258,0.066,36
2469,POINT(-79.4456 43.71573),43.716,-79.446,0.026,31
2472,POINT(-79.34134 43.73765),43.738,-79.341,0.073,86
2473,POINT(-79.57908 43.70964),43.71,-79.579,0.064,30
2474,POINT(-79.35333 43.69647),43.696,-79.353,0.02,57
2476,POINT(-79.47666 43.63096),43.631,-79.477,0.024,170
2501,POINT(-79.2617 43.82816),43.828,-79.262,0.059,10
2506,POINT(-79.4181 43.7027),43.703,-79.418,0.026,14
2508,POINT(-79.29601 43.74848),43.748,-79.296,0.03,16
2512,POINT(-79.49927 43.66584),43.666,-79.499,0.021,21
2513,POINT(-79.44288 43.77405),43.774,-79.443,0.027,25
2519,POINT(-79.39991 43.63696),43.637,-79.4,0.03,91
2523,POINT(-79.33874 43.65467),43.655,-79.339,0.028,139
2526,POINT(-79.53491 43.75356),43.754,-79.535,0.047,92
2527,POINT(-79.38245 43.64507),43.645,-79.382,0.029,80
2530,POINT(-79.32509 43.65506),43.655,-79.325,0.202,62
2563,POINT(-79.40205 43.66305),43.663,-79.402,0.08,11
2568,POINT(-79.34678 43.75),43.75,-79.347,0.041,16
2569,POINT(-79.51297 43.73968),43.74,-79.513,0.028,17
2573,POINT(-79.41562 43.67666),43.677,-79.416,0.021,27
2574,POINT(-79.31368 43.72594),43.726,-79.314,0.029,57
2575,POINT(-79.32331 43.72486),43.725,-79.323,0.125,185
2578,POINT(-79.47594 43.68085),43.681,-79.476,0.02,31
2579,POINT(-79.30273 43.72476),43.725,-79.303,0.074,106
2580,POINT(-79.49806 43.71909),43.719,-79.498,0.021,365
2581,POINT(-79.41989 43.7446),43.745,-79.42,0.06,1162
2582,POINT(-79.31511 43.66574),43.666,-79.315,0.048,29
2586,POINT(-79.28958 43.73299),43.733,-79.29,0.047,47
2587,POINT(-79.13511 43.8036),43.804,-79.135,0.024,248
2591,POINT(-79.18347 43.80561),43.806,-79.183,0.111,34
2617,POINT(-79.30191 43.72336),43.723,-79.302,0.063,10
2620,POINT(-79.6327 43.75128),43.751,-79.633,0.031,12
2621,POINT(-79.53316 43.7017),43.702,-79.533,0.12,13
2623,POINT(-79.42541 43.70066),43.701,-79.425,0.024,17
2624,POINT(-79.56652 43.74006),43.74,-79.567,0.048,18
2626,POINT(-79.41711 43.72612),43.726,-79.417,0.034,20
2635,POINT(-79.54766 43.69935),43.699,-79.548,0.107,79
2636,POINT(-79.19423 43.78927),43.789,-79.194,0.095,61
2641,POINT(-79.43769 43.77486),43.775,-79.438,0.197,62
2670,POINT(-79.34415 43.77984),43.78,-79.344,0.041,13
2671,POINT(-79.24376 43.80721),43.807,-79.244,0.038,13
2673,POINT(-79.55129 43.70706),43.707,-79.551,0.025,18
2681,POINT(-79.31884 43.75798),43.758,-79.319,0.173,59
2683,POINT(-79.46328 43.7499),43.75,-79.463,0.021,59
2684,POINT(-79.44739 43.72518),43.725,-79.447,0.087,151
2685,POINT(-79.53871 43.77197),43.772,-79.539,0.04,42
2715,POINT(-79.48834 43.75255),43.753,-79.488,0.051,10
2716,POINT(-79.54799 43.60841),43.608,-79.548,0.021,11
2718,POINT(-79.45638 43.64529),43.645,-79.456,0.03,14
2721,POINT(-79.32635 43.69838),43.698,-79.326,0.048,19
2724,POINT(-79.49088 43.68665),43.687,-79.491,0.054,25
2726,POINT(-79.38798 43.76633),43.766,-79.388,0.021,34
2727,POINT(-79.55937 43.60521),43.605,-79.559,0.039,294
2728,POINT(-79.36365 43.81059),43.811,-79.364,0.083,45
2731,POINT(-79.3025 43.72349),43.723,-79.302,0.039,29
2732,POINT(-79.32248 43.77404),43.774,-79.322,0.128,107
2733,POINT(-79.54775 43.69958),43.7,-79.548,0.213,118
2737,POINT(-79.36704 43.71311),43.713,-79.367,0.093,34
2738,POINT(-79.48905 43.62587),43.626,-79.489,0.118,927
2740,POINT(-79.29864 43.75503),43.755,-79.299,0.08,35
2741,POINT(-79.48424 43.78387),43.784,-79.484,0.109,110
2781,POINT(-79.53175 43.73526),43.735,-79.532,0.023,10
2783,POINT(-79.3049 43.73028),43.73,-79.305,0.04,10
2792,POINT(-79.26575 43.75142),43.751,-79.266,0.034,22
2793,POINT(-79.60661 43.71999),43.72,-79.607,0.042,24
2795,POINT(-79.26733 43.75117),43.751,-79.267,0.08,25
2797,POINT(-79.42908 43.63142),43.631,-79.429,0.02,28
2829,POINT(-79.385 43.7523),43.752,-79.385,0.021,10
2831,POINT(-79.50486 43.60719),43.607,-79.505,0.2,11
2834,POINT(-79.57044 43.75836),43.758,-79.57,0.125,13
2839,POINT(-79.29441 43.8018),43.802,-79.294,0.048,18
2840,POINT(-79.56894 43.74595),43.746,-79.569,0.028,19
2843,POINT(-79.46608 43.70954),43.71,-79.466,0.064,26
2846,POINT(-79.55506 43.60912),43.609,-79.555,0.106,595
2847,POINT(-79.28353 43.77254),43.773,-79.284,0.06,183
2848,POINT(-79.3401 43.65388),43.654,-79.34,0.034,35
2849,POINT(-79.60122 43.73041),43.73,-79.601,0.047,52
2850,POINT(-79.25294 43.77601),43.776,-79.253,0.094,100
2851,POINT(-79.55519 43.7153),43.715,-79.555,0.043,29
2885,POINT(-79.46668 43.76852),43.769,-79.467,0.02,13
2886,POINT(-79.4485 43.7534),43.753,-79.448,0.068,14
2887,POINT(-79.61775 43.73695),43.737,-79.618,0.056,16
2889,POINT(-79.35047 43.77439),43.774,-79.35,0.093,18
2893,POINT(-79.55173 43.62992),43.63,-79.552,0.086,202
2894,POINT(-79.53199 43.75416),43.754,-79.532,0.022,34
2896,POINT(-79.30567 43.73195),43.732,-79.306,0.191,141
2898,POINT(-79.54289 43.75219),43.752,-79.543,0.048,103
2902,POINT(-79.27789 43.73014),43.73,-79.278,0.075,51
2904,POINT(-79.60339 43.73428),43.734,-79.603,0.023,34
2905,POINT(-79.49409 43.78142),43.781,-79.494,0.034,76
2906,POINT(-79.21194 43.79438),43.794,-79.212,0.072,394
2907,POINT(-79.43816 43.77481),43.775,-79.438,0.139,34
2909,POINT(-79.50137 43.60797),43.608,-79.501,0.396,59
2940,POINT(-79.36476 43.64537),43.645,-79.365,0.034,10
2942,POINT(-79.36761 43.78995),43.79,-79.368,0.03,10
2944,POINT(-79.37116 43.66146),43.661,-79.371,0.069,11
2946,POINT(-79.44857 43.67146),43.671,-79.449,0.025,13
2947,POINT(-79.37096 43.64326),43.643,-79.371,0.038,14
2948,POINT(-79.46359 43.78857),43.789,-79.464,0.025,20
2952,POINT(-80.60612 40.47419),40.474,-80.606,0.195,33
