,Location,Latitude,Longitude,SeverityScore,IncidentsTotal
531,POINT(-79.46348 43.75074),43.751,-79.463,0.02,27
534,POINT(-79.44553 43.79244),43.792,-79.446,0.029,34
538,POINT(-79.48008 43.71801),43.718,-79.48,0.031,36
540,POINT(-79.54053 43.74357),43.744,-79.541,0.067,34
541,POINT(-79.44034 43.69779),43.698,-79.44,0.068,66
543,POINT(-79.50714 43.71545),43.715,-79.507,0.023,33
571,POINT(-79.46039 43.65574),43.656,-79.46,0.035,10
573,POINT(-79.34121 43.8157),43.816,-79.341,0.02,12
575,POINT(-79.44676 43.66676),43.667,-79.447,0.02,13
576,POINT(-79.45603 43.6444),43.644,-79.456,0.051,13
578,POINT(-79.4221 43.70179),43.702,-79.422,0.022,14
584,POINT(-79.38348 43.65479),43.655,-79.383,0.021,20
585,POINT(-79.46927 43.69151),43.692,-79.469,0.032,21
588,POINT(-79.40457 43.7343),43.734,-79.405,0.022,27
589,POINT(-79.30147 43.68771),43.688,-79.301,0.068,37
590,POINT(-79.27223 43.76339),43.763,-79.272,0.123,49
593,POINT(-79.44311 43.67806),43.678,-79.443,0.038,47
594,POINT(-79.5503 43.70988),43.71,-79.55,0.021,510
597,POINT(-79.50927 43.72394),43.724,-79.509,0.121,69
635,POINT(-79.28052 43.72925),43.729,-79.281,0.03,11
636,POINT(-79.60329 43.74351),43.744,-79.603,0.037,11
639,POINT(-79.38199 43.64359),43.644,-79.382,0.037,12
640,POINT(-79.48589 43.74293),43.743,-79.486,0.024,16
641,POINT(-79.46597 43.63592),43.636,-79.466,0.021,18
643,POINT(-79.24484 43.75395),43.754,-79.245,0.036,20
647,POINT(-79.54212 43.75101),43.751,-79.542,0.037,25
651,POINT(-79.48227 43.72774),43.728,-79.482,0.034,42
658,POINT(-79.33873 43.72068),43.721,-79.339,0.021,42
659,POINT(-79.19364 43.78638),43.786,-79.194,0.067,31
701,POINT(-79.52925 43.62709),43.627,-79.529,0.02,10
706,POINT(-79.46644 43.66994),43.67,-79.466,0.024,12
708,POINT(-79.4321 43.63178),43.632,-79.432,0.025,14
709,POINT(-79.49402 43.67277),43.673,-79.494,0.025,14
711,POINT(-79.24619 43.73718),43.737,-79.246,0.037,17
715,POINT(-79.51702 43.70005),43.7,-79.517,0.035,20
717,POINT(-79.53726 43.75529),43.755,-79.537,0.022,22
718,POINT(-79.42112 43.73863),43.739,-79.421,0.031,22
719,POINT(-79.23712 43.81415),43.814,-79.237,0.041,28
721,POINT(-79.37806 43.71666),43.717,-79.378,0.047,47
722,POINT(-79.33711 43.69611),43.696,-79.337,0.038,40
723,POINT(-79.57724 43.69018),43.69,-79.577,0.054,53
726,POINT(-79.52414 43.75604),43.756,-79.524,0.026,63
727,POINT(-79.32173 43.7254),43.725,-79.322,0.063,32
730,POINT(-79.34692 43.65107),43.651,-79.347,0.079,374
731,POINT(-79.60203 43.71895),43.719,-79.602,0.049,40
732,POINT(-79.35745 43.64911),43.649,-79.357,0.023,213
767,POINT(-79.57303 43.64328),43.643,-79.573,0.052,10
768,POINT(-79.37246 43.66148),43.661,-79.372,0.036,11
774,POINT(-79.42778 43.70042),43.7,-79.428,0.034,13
781,POINT(-79.50219 43.69745),43.697,-79.502,0.022,21
782,POINT(-79.29175 43.7097),43.71,-79.292,0.038,26
783,POINT(-79.26448 43.69166),43.692,-79.264,0.073,28
784,POINT(-79.52135 43.6396),43.64,-79.521,0.102,40
786,POINT(-79.36996 43.64553),43.646,-79.37,0.025,172
787,POINT(-79.4596 43.6384),43.638,-79.46,0.023,124
789,POINT(-79.5197 43.76594),43.766,-79.52,0.269,95
793,POINT(-79.30943 43.74117),43.741,-79.309,0.045,69
794,POINT(-79.29611 43.80072),43.801,-79.296,0.036,35
845,POINT(-79.58558 43.70936),43.709,-79.586,0.077,18
848,POINT(-79.26443 43.82752),43.828,-79.264,0.216,22
855,POINT(-79.55787 43.63246),43.632,-79.558,0.028,317
859,POINT(-79.47432 43.63261),43.633,-79.474,0.024,168
860,POINT(-79.63349 43.75126),43.751,-79.633,0.124,151
861,POINT(-79.28104 43.76611),43.766,-79.281,0.021,62
899,POINT(-79.44555 43.78379),43.784,-79.446,0.024,12
900,POINT(-79.27524 43.81722),43.817,-79.275,0.176,12
904,POINT(-79.48828 43.65873),43.659,-79.488,0.027,13
905,POINT(-79.50733 43.6069),43.607,-79.507,0.036,14
906,POINT(-79.3212 43.72554),43.726,-79.321,0.02,15
909,POINT(-79.31556 43.72235),43.722,-79.316,0.035,18
911,POINT(-79.38246 43.63991),43.64,-79.382,0.02,23
913,POINT(-79.43737 43.71757),43.718,-79.437,0.038,26
915,POINT(-79.49269 43.72005),43.72,-79.493,0.08,1188
917,POINT(-79.43275 43.63191),43.632,-79.433,0.065,42
921,POINT(-79.53176 43.61672),43.617,-79.532,0.043,380
926,POINT(-79.34122 43.65351),43.654,-79.341,0.072,243
930,POINT(-79.49449 43.78134),43.781,-79.494,0.032,131
931,POINT(-79.28187 43.76876),43.769,-79.282,0.048,52
963,POINT(-79.54153 43.63457),43.635,-79.542,0.093,13
965,POINT(-79.40292 43.63579),43.636,-79.403,0.021,16
969,POINT(-79.45632 43.72078),43.721,-79.456,0.027,25
970,POINT(-79.46259 43.69458),43.695,-79.463,0.079,28
974,POINT(-79.62422 43.7348),43.735,-79.624,0.054,54
978,POINT(-79.52062 43.60697),43.607,-79.521,0.032,54
979,POINT(-79.38943 43.65759),43.658,-79.389,0.024,31
980,POINT(-79.49398 43.77534),43.775,-79.494,0.094,110
1015,POINT(-79.37553 43.76936),43.769,-79.376,0.022,10
1020,POINT(-79.40582 43.74026),43.74,-79.406,0.022,12
1022,POINT(-79.3067 43.7346),43.735,-79.307,0.041,13
1030,POINT(-79.26104 43.79504),43.795,-79.261,0.037,26
1031,POINT(-79.38767 43.76305),43.763,-79.388,0.03,577
1032,POINT(-79.33732 43.655),43.655,-79.337,0.05,256
1033,POINT(-79.30471 43.7299),43.73,-79.305,0.164,43
1037,POINT(-79.54976 43.61336),43.613,-79.55,0.022,59
1038,POINT(-79.50969 43.66092),43.661,-79.51,0.136,148
1039,POINT(-79.48358 43.73339),43.733,-79.484,0.074,99
1064,POINT(-79.48928 43.76607),43.766,-79.489,0.035,11
1066,POINT(-79.34929 43.71303),43.713,-79.349,0.157,12
1067,POINT(-79.37267 43.64263),43.643,-79.373,0.021,14
1115,POINT(-79.47317 43.67827),43.678,-79.473,0.029,16
1116,POINT(-79.27849 43.73187),43.732,-79.278,0.073,16
1117,POINT(-79.31628 43.79667),43.797,-79.316,0.061,18
1123,POINT(-79.54149 43.74797),43.748,-79.541,0.053,45
1127,POINT(-79.37035 43.64344),43.643,-79.37,0.268,292
1129,POINT(-79.27108 43.76782),43.768,-79.271,0.024,37
1171,POINT(-79.28512 43.72858),43.729,-79.285,0.063,10
1173,POINT(-79.44095 43.67291),43.673,-79.441,0.029,12
1174,POINT(-79.26265 43.80881),43.809,-79.263,0.078,15
1175,POINT(-79.35047 43.71675),43.717,-79.35,0.024,16
1179,POINT(-79.56668 43.70405),43.704,-79.567,0.06,21
1180,POINT(-79.5363 43.72985),43.73,-79.536,0.023,22
1181,POINT(-79.33802 43.71845),43.718,-79.338,0.052,23
1183,POINT(-79.43605 43.69881),43.699,-79.436,0.033,85
1184,POINT(-79.34541 43.65184),43.652,-79.345,0.062,75
1185,POINT(-79.37706 43.76496),43.765,-79.377,0.02,265
1186,POINT(-79.54167 43.61512),43.615,-79.542,0.031,280
1187,POINT(-79.24367 43.80844),43.808,-79.244,0.021,31
1189,POINT(-79.53624 43.7535),43.754,-79.536,0.038,217
1190,POINT(-79.28753 43.72761),43.728,-79.288,0.092,177
1191,POINT(-79.26487 43.72516),43.725,-79.265,0.223,62
1192,POINT(-79.62518 43.74033),43.74,-79.625,0.564,35
1196,POINT(-79.49251 43.72014),43.72,-79.493,0.126,1453
1197,POINT(-79.53876 43.71264),43.713,-79.539,0.047,1102
1219,POINT(-79.57023 43.76043),43.76,-79.57,0.056,14
1222,POINT(-79.56247 43.74787),43.748,-79.562,0.03,16
1224,POINT(-79.24659 43.78517),43.785,-79.247,0.055,17
1226,POINT(-79.47001 43.78526),43.785,-79.47,0.059,19
1229,POINT(-79.48248 43.72863),43.729,-79.482,0.025,21
1230,POINT(-79.45157 43.7002),43.7,-79.452,0.033,23
1232,POINT(-79.36437 43.65493),43.655,-79.364,0.021,27
1233,POINT(-79.25172 43.77309),43.773,-79.252,0.027,27
1234,POINT(-79.36605 43.64658),43.647,-79.366,0.033,217
